"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tcas000756",1101.60001970828,0.427558521664349,0.0883456961610664,4.83960781615044,1.30095599176725e-06,9.14443057872681e-05
"Tcas002345",1630.81652775617,0.482216283044641,0.0996076839744661,4.8411554591336,1.29086334251283e-06,9.14443057872681e-05
"Tcas001900",1342.71546264635,0.683934734546125,0.141238305209364,4.84241674758344,1.28269383901747e-06,9.14443057872681e-05
"Tcas007447",100.017311689864,1.52479369018233,0.314872159489494,4.8425802162201,1.28163868227714e-06,9.14443057872681e-05
"Tcas008067",593.081524725992,0.417361680305337,0.0862196016563498,4.84068207562404,1.29394239754461e-06,9.14443057872681e-05
"Tcas010072",1553.33174331995,1.84942214314932,0.382174862810425,4.83920404798237,1.3036015446234e-06,9.14443057872681e-05
"Tcas012414",556.315600361148,1.15602061987999,0.238643082559706,4.84414049416564,1.2716093332843e-06,9.14443057872681e-05
"Tcas009610",667.646776130751,0.806601561281141,0.167043251466343,4.82869888008412,1.37428036736575e-06,9.57882169432063e-05
"Tcas008219",236.552859545858,0.479412478342974,0.0995426097736015,4.81615339836221,1.46352031610657e-06,0.000101362676070596
"Tcas000219",261.510826115062,0.484552654828267,0.101650840885932,4.76683370845904,1.87143645353897e-06,0.00012809564251971
"Tcas009741",438.005269630204,0.422338297454015,0.0886022928822223,4.7666745827382,1.87291444788026e-06,0.00012809564251971
"Tcas005966",891.874910195053,0.779767148567291,0.163855798945714,4.75886208229733,1.94687399821009e-06,0.000132326969952876
"Tcas010596",388.628646785664,1.25441981328813,0.265791804933332,4.71955790210604,2.36357762899636e-06,0.000159658209840168
"Tcas011394",74.2032812784852,-0.731536821171051,0.155327689560401,-4.70963563059107,2.48160031085546e-06,0.000166602160746572
"Tcas008375",483.532336299862,0.26251150374623,0.0557864372143383,4.70565099430223,2.53057122164407e-06,0.000167830550778491
"Tcas009515",568.552028175478,1.08247360754841,0.230016755238622,4.70606415791508,2.5254506812205e-06,0.000167830550778491
"Tcas002644",117.71789977851,0.714691591730499,0.152108136778547,4.69857567692788,2.61982115082733e-06,0.000172703029237973
"Tcas010688",705.787609716683,0.311763566048542,0.0663727521525203,4.69716195182218,2.63801281362327e-06,0.000172860923469937
"Tcas001190",533.731618771681,1.09263695034472,0.232908423687131,4.69127278888148,2.71510678735307e-06,0.000176853652226218
"Tcas004017",476.329661110505,1.54325491882612,0.329136901922924,4.6887933556217,2.74820732362785e-06,0.000176903722014468
"Tcas007545",406.291059748552,3.32094266590615,0.708260312702635,4.68887301228815,2.74713790907898e-06,0.000176903722014468
"Tcas001732",387.402636752113,-1.04188011785524,0.222283418316521,-4.68716976617504,2.77009175215324e-06,0.000177153014993616
"Tcas003844",1608.15218351185,1.83700192292307,0.392009932416583,4.68611065948939,2.78445751429241e-06,0.000177153014993616
"Tcas000131",232.368113474347,0.572428700832547,0.122232943618742,4.68309674859843,2.82573056392265e-06,0.000178739708445119
"Tcas002945",235.701715212769,0.942278319587567,0.201280581602627,4.68141691605321,2.84898861270903e-06,0.000179175186142959
"Tcas005872",101.584034197675,1.16391546494003,0.248982985971204,4.67467871509358,2.94414160111943e-06,0.000184101380234571
"Tcas012598",6.29720163546799,-2.80611338678888,0.600548054647652,-4.67258758907355,2.97428609460579e-06,0.000184929617802677
"Tcas000010",392.993295607811,0.527222096540672,0.112963586162659,4.66718625399793,3.05352510463719e-06,0.000188783758305337
"Tcas009658",471.648504693294,0.379889127153906,0.0814670926636811,4.66309910827669,3.11482648730473e-06,0.000191491832868403
"Tcas008646",9.20223449174864,-2.01474790269339,0.433783203976395,-4.64459638875974,3.40741936719654e-06,0.000208309442096267
"Tcas006924",683.750212934701,0.427210989518353,0.0921227575633063,4.63740991713992,3.52802290107759e-06,0.000214484192258289
"Tcas010364",398.284516186231,2.51887313281807,0.543419925118534,4.63522409905864,3.56550995902586e-06,0.00021556561039569
"Tcas002011",619.303014063495,0.382432075288892,0.0826433135886479,4.62750171408209,3.70103170069638e-06,0.000222529614839124
"Tcas010196",30.5193780414589,0.985834168434001,0.213521018378318,4.61703571817597,3.89260291701244e-06,0.000232769146015667
"Tcas001657",451.498224020443,0.974251651625375,0.211233207592097,4.61220876552093,3.98412543482965e-06,0.000236947199094244
"Tcas003936",59.496380902475,-0.759482351586879,0.165069717829805,-4.60097928058461,4.20509259690451e-06,0.000248736909664465
"Tcas009361",736.006167642432,0.325458181503702,0.0710781680365799,4.5788768969989,4.67479211061629e-06,0.000275033602507925
"Tcas007742",580.105584437216,1.69656784953524,0.371078065156059,4.57199713171333,4.83097553569931e-06,0.000282702488166618
"Tcas001879",378.940514026556,0.396236495413709,0.087243667192426,4.54172214631652,5.57965490577184e-06,0.00032477746613756
"Tcas009919",597.232839157566,0.303987623920278,0.0669908525323041,4.5377482511316,5.685807862213e-06,0.000329205266858185
"Tcas003753",204.966254824071,0.359494657120537,0.0792990592179447,4.53340380914868,5.80407038907732e-06,0.000334283906671964
"Tcas007511",242.666824164291,0.390104098911437,0.0864618293297151,4.51186496903514,6.42600946115494e-06,0.000368166604887008
"Tcas001635",23.7787054013485,3.04704971024783,0.676319702882696,4.50533926079679,6.62669846662919e-06,0.00037768729854335
"Tcas006286",84.4502302367611,0.587914296566391,0.130538784831076,4.50375187211359,6.67641542944827e-06,0.000378549295567111
"Tcas004599",155.861744324577,2.03801714489816,0.452733485380936,4.50158252196288,6.74493673275052e-06,0.000380463106528293
"Tcas004279",15260.2880863848,1.97819467427312,0.440728507648519,4.48846543834359,7.17380597112245e-06,0.000400525299704046
"Tcas003804",1128.44533510902,0.339790570183644,0.0756898877652293,4.48924658519229,7.14755210065099e-06,0.000400525299704046
"Tcas006485",659.380937856926,-0.376621705663578,0.0839700785887166,-4.48518939119091,7.28491980375215e-06,0.000404664352347511
"Tcas010740",26.8401523495629,-1.56772117871739,0.350308098291679,-4.47526387874724,7.63169981279296e-06,0.00042178631844138
"Tcas012075",103.293200706904,-1.78990878770957,0.400143282647514,-4.47316965029823,7.70685837587799e-06,0.000423799754810215
"Tcas003874",487.08260031405,0.2925407788805,0.0655703168378983,4.46148185624471,8.13948387850855e-06,0.000445351860412595
"Tcas004297",55.0060291819523,-1.10355757284132,0.248151038902618,-4.44712050258387,8.7029022352979e-06,0.000473810244581417
"Tcas002581",1920.86272449411,0.383771172808414,0.0864994446620867,4.4366894412748,9.13529409079898e-06,0.000494888728889174
"Tcas007867",227.203944979074,1.47122941123445,0.334560798403519,4.39749491947341,1.09507447278855e-05,0.00059031526875493
"Tcas005493",1485.35195459834,0.518223798817412,0.118155135425941,4.3859608551863,1.15474888537637e-05,0.000619432208464394
"Tcas003362",53.1398575096668,-1.08532485081221,0.24765566327026,-4.38239463810614,1.17381937135681e-05,0.000626590506378418
"Tcas004432",7.84141785418176,-4.4728055191357,1.02278054524201,-4.3731820476477,1.22448531884376e-05,0.000650463244859575
"Tcas000503",284.792813940419,-0.798057382210908,0.182556510476333,-4.3715635236924,1.23359947472914e-05,0.000652139084635798
"Tcas007293",298.653457555147,1.01559841358104,0.232671554305215,4.36494446694928,1.27155057553081e-05,0.000668970093655462
"Tcas001795",264.451218963609,0.939425436561863,0.215937597805759,4.35044867641298,1.35859252705644e-05,0.000707956096360886
"Tcas006266",380.136491929447,-1.13293829172962,0.260383735522396,-4.35103325273624,1.35497499164171e-05,0.000707956096360886
"Tcas011747",19.9346661023333,2.22858245016977,0.512513674688981,4.34833753757338,1.37173375916379e-05,0.000711416233484803
"Tcas004201",466.381611834903,-1.02774971673475,0.236711029372271,-4.34179057672225,1.41326210239013e-05,0.000729496565398828
"Tcas005205",234.865903231358,0.78556414217659,0.181023682137676,4.33956559108734,1.42764651464359e-05,0.000733461775105389
"Tcas008778",429.359766553219,0.450915215679664,0.104011463778176,4.33524535950504,1.45597630303746e-05,0.000741058078332041
"Tcas009693",378.936413516503,0.31986938528314,0.0737689321118765,4.33609889862622,1.45033709100274e-05,0.000741058078332041
"Tcas012421",1338.54504815421,-1.55306208275023,0.358631675399258,-4.33052122632848,1.48756805000158e-05,0.000753632276442929
"Tcas000913",3501.05475256128,0.353899983430594,0.0818900815036684,4.32164649164186,1.54869176406663e-05,0.000777407560482061
"Tcas011849",344.838124951615,-0.81216946253305,0.187930649372645,-4.32164452815044,1.54870554861637e-05,0.000777407560482061
"Tcas008722",30.9611722401738,1.13872561216804,0.264012098082607,4.31315693651184,1.60939790758163e-05,0.0008041845343683
"Tcas002620",224.20512909025,-0.673960844000931,0.156480575318436,-4.3069936484412,1.65488360032162e-05,0.000819824926695053
"Tcas007005",3709.01996258975,1.0054295079389,0.233446927173332,4.30688688051303,1.65568225166414e-05,0.000819824926695053
"Tcas002477",197.612061544033,0.410057997096114,0.0955480546853484,4.29164150381174,1.77357124101165e-05,0.00087032242557805
"Tcas010218",469.064958686818,0.268176553697156,0.0624787886530754,4.29228158033367,1.76846481409477e-05,0.00087032242557805
"Tcas005176",16.2591838644003,2.5389763932023,0.592384392097824,4.28602850964888,1.81895654648329e-05,0.000888608995007441
"Tcas005070",79.1986154902994,-0.805818571305664,0.188071331569923,-4.28464330304414,1.83032603006193e-05,0.000890189233198566
"Tcas003530",363.219399568166,-0.547755400970292,0.128190009714943,-4.27299601730541,1.92863903051814e-05,0.000933853845617701
